Familia - Family,Departamento - Department,Grupo - Group,Subgrupo - Subgroup,Item,Item Descrip.,ST 12s,ST_REAL,Classificação Geral -  Classification ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,Estrategico - Strategic,VND TT 12s,Projetado - Projected,Estoque QTD Inicial Initial Stock Qty,Recebimento Total  Total Recieved,Fornecedor - Supplier,Preço Original - Original Price,Preço Vigente - Actual Price,Idade de Estoque - Days in Stock,Idade Ajustada - Days in Stock (adjusted),Cash Margem Mês - Monthly Cash Margin,Venda R$ Mês - Montly Sales in R$,R$ Estoque - Stock in R$,Estoque QTD - Stock Qty,Venda QTD Total - Total Sales Qty,Cash Margem Total - Total Cash Margin,Pri. Recebimento - Day when 1st recieved,Pri Dia VND Ajustado - 1st  Day of Sales (adjusted),Qtd Lojas C/ Item Meio Pack - Num. of Stores w/ half pack,Qtd Lojas C/ Item - Num. of Stores w/ the item,Carteira Valor - Order Value,Carteira QTD - Order Qty,Qtd de pedidos - Num. of Orders,Remarcado - Remarked,MV Total - Total Sales Margin,ANO_MÊS - Year_month,Recebimento Custo - Shipping Cost,Recebimento R$ - Amout (R$) Recieved ,Custo Unit. -Cost per unit,MV Entrada - Entry Sales Margin
10 Acessorios Av,ACESSORIOS,CINTO MASCULINO,CINTO SOCIAL,113351,CNT SOC J.SHAYEB 350,"48,68%","48,68%",Slow,"3,65%","3,76%","4,24%","5,55%","4,06%","3,39%","3,23%","4,20%","4,42%","3,79%","3,81%","4,57%",Estratégico,8936,N,12058,38004,J SHAYEB,19.99,19.99,103,279,25387,50280,157002,7854,51739,515828,14/08/2023,2023-08-14 00:00:00,164,171,101709,5088,10,N,0.505410485776184,202308,365579,759699.96,9.62,0.518785284653694
10 Acessorios Av,ACESSORIOS,CINTO MASCULINO,CINTO SOCIAL,113352,CNT SOC J.SHAYEB 350,"34,58%","34,58%",Slow,"2,36%","2,28%","2,69%","3,45%","2,71%","2,46%","2,24%","3,22%","3,75%","2,97%","3,19%","3,26%",Estratégico,3346,N,7425,17292,J SHAYEB,19.99,19.99,103,279,8501,16806,92074,4606,24221,242162,14/08/2023,2023-08-14 00:00:00,133,161,10075,504,7,N,0.506821104461541,202308,166282,345667.08,9.62,0.518953786400487
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,114004,BOXER COTTON NW URBA,"45,69%","45,69%",Slow,"1,85%","3,47%","3,10%","3,24%","3,31%","4,31%","4,44%","3,70%","3,68%","4,50%","5,57%","4,51%",Estratégico,12236,N,16225,59904,MGS,9.99,9.99,60,265,15538,36292,117852,11127,77579,355127,24/08/2023,2023-08-28 00:00:00,135,169,110050,11016,14,S,0.441279793689007,202308,336758,598440.96,5.62,0.437273812273812
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,114005,BOXER COTTON NW BASI,"38,87%","38,87%",Slow,"1,56%","2,16%","3,36%","4,23%","2,84%","2,57%","2,88%","4,02%","4,54%","3,68%","3,33%","3,70%",Estratégico,8499,N,13468,53472,MGS,9.99,9.99,69,279,8882,20386,40011,3748,65595,297512,15/08/2023,2023-08-14 00:00:00,74,149,236403,23664,14,S,0.438670913290139,202308,300497,534185.28,5.62,0.437466191505689
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,114006,BOXER COTTON NW UNDE,"54,35%","54,35%",Slow,"5,32%","3,33%","4,57%","6,01%","6,09%","4,06%","3,60%","3,38%","4,38%","4,40%","4,97%","4,25%",Estratégico,8613,N,7902,42120,MGS,9.99,9.99,75,286,9017,21105,66539,6298,53336,244515,09/08/2023,2023-08-07 00:00:00,106,166,24456,2448,14,S,0.44266772248921,202308,237393,420778.8,5.64,0.435825569158902
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,CUECA BOXER MICROFIB,114093,BOXER MICRO EST DIV,"43,53%","43,53%",Slow,"2,47%","2,55%","3,76%","3,47%","3,62%","3,85%","4,91%","4,63%","3,55%","2,86%","3,57%","4,29%",Estratégico,8984,N,12668,35736,OVIMAR INDUSTRIA E COMERCIO DE MALJAS LTDA EPP,15.99,15.99,38,272,28311,49659,134892,8436,51757,458075,17/08/2023,2023-08-21 00:00:00,169,173,156190,9768,11,N,0.564068072265983,202308,238550,571418.64,6.68,0.582529544363481
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,115466,BOXER COTTON NW SPOR,"48,10%","48,10%",Slow,"3,96%","7,07%","3,55%","3,78%","4,22%","4,07%","2,63%","2,57%","2,96%","4,19%","4,49%","4,60%",Estratégico,12277,N,14509,58224,MGS,9.99,9.99,81,293,15644,36712,109719,10424,76198,355520,02/08/2023,2023-07-31 00:00:00,116,160,164475,16464,13,S,0.445033972700166,202308,327471,581657.76,5.62,0.437003367753574
10 Acessorios Av,UNDERWEAR,CUECA ADULTO,KVI CUECA BASICA,115468,BOXER COTTON NW STRE,"40,60%","40,60%",Slow,"0,69%","1,99%","2,24%","1,77%","1,33%","2,72%","4,01%","4,91%","3,94%","5,36%","6,46%","5,19%",Estratégico,8471,N,14002,55512,MGS,9.99,9.99,148,265,16938,39137,59711,5502,63678,296971,25/08/2023,2023-08-28 00:00:00,130,171,174306,17448,13,S,0.448396022682293,202308,311653,554564.88,5.61,0.438021679266815
10 Acessorios Av,UNDERWEAR,MEIA MASCULINA,KIT MEIA INVISIV 6x1,115612,KIT MEIA 6X1 CN CTO,"40,93%","40,93%",Slow,"2,91%","5,93%","3,32%","2,66%","3,16%","4,12%","3,38%","2,71%","2,78%","3,49%","3,66%","2,82%",Não Estratégico,12540,N,23029,39564,CEDETEX,19.99,25.99,69,293,35644,70299,339352,13057,67588,911439,01/08/2023,2023-07-31 00:00:00,172,172,229232,8820,10,S,0.527915953613326,202308,491164,1028268.36,12.41,0.5223385070411
10 Acessorios Av,COMPLEMENTOS,SQUEEZE,COPOS,120910,COPO SHAKE MINNIE 50,"51,81%","51,81%",Slow,"3,00%","5,12%","5,37%","8,49%","4,00%","5,18%","3,06%","3,56%","4,06%","3,68%","2,68%","3,62%",Estratégico,830,N,1224,1695,PLASUTIL  INDUSTRIA E COMERCIO DE PLASTICOS LTDA,15.99,19.99,312,244,736,1164,7537,377,2492,30961,13/09/2023,2023-09-18 00:00:00,17,78,,,4,S,0.635911819975677,202309,12095,33883.05,7.14,0.643046301912018
